model;date;sales;month;year;
S60 CC;2018-12-31;87;December;2018;
S60 II;2018-12-31;961;December;2018;
S60L;2018-12-31;1314;December;2018;
S80 II;2018-12-31;0;December;2018;
S90;2018-12-31;5108;December;2018;
V40;2018-12-31;5121;December;2018;
V40 CC;2018-12-31;1591;December;2018;
V60;2018-12-31;524;December;2018;
V60 CC;2018-12-31;249;December;2018;
V60 II;2018-12-31;4906;December;2018;
V70 III;2018-12-31;0;December;2018;
V90;2018-12-31;2277;December;2018;
V90 CC;2018-12-31;1991;December;2018;
XC40;2018-12-31;8724;December;2018;
XC60;2018-12-31;16;December;2018;
XC60 II;2018-12-31;18265;December;2018;
XC70 III;2018-12-31;0;December;2018;
XC90 II;2018-12-31;9023;December;2018;
S60 CC;2017-12-31;154;December;2017;
S60 II;2017-12-31;1996;December;2017;
S60L;2017-12-31;2929;December;2017;
S80 II;2017-12-31;2;December;2017;
S90;2017-12-31;6787;December;2017;
V40;2017-12-31;7729;December;2017;
V40 CC;2017-12-31;2352;December;2017;
V60;2017-12-31;3586;December;2017;
V60 CC;2017-12-31;1665;December;2017;
V60 II;2017-12-31;0;December;2017;
V70 III;2017-12-31;0;December;2017;
V90;2017-12-31;2711;December;2017;
V90 CC;2017-12-31;2190;December;2017;
XC40;2017-12-31;96;December;2017;
XC60;2017-12-31;3658;December;2017;
XC60 II;2017-12-31;11635;December;2017;
XC70 III;2017-12-31;0;December;2017;
XC90 II;2017-12-31;11036;December;2017;
Other;2018-11-30;62;November;2018;
S60 CC;2018-11-30;67;November;2018;
S60 II;2018-11-30;828;November;2018;
S60L;2018-11-30;1693;November;2018;
S80 II;2018-11-30;0;November;2018;
S90;2018-11-30;4223;November;2018;
V40;2018-11-30;4277;November;2018;
V40 CC;2018-11-30;1360;November;2018;
V60;2018-11-30;286;November;2018;
V60 CC;2018-11-30;147;November;2018;
V60 II;2018-11-30;3993;November;2018;
V70 III;2018-11-30;0;November;2018;
V90;2018-11-30;2386;November;2018;
V90 CC;2018-11-30;1902;November;2018;
XC40;2018-11-30;8993;November;2018;
XC60;2018-11-30;8;November;2018;
XC60 II;2018-11-30;18275;November;2018;
XC70 III;2018-11-30;0;November;2018;
XC90 II;2018-11-30;7534;November;2018;
Other;2017-11-30;0;November;2017;
S60 CC;2017-11-30;150;November;2017;
S60 II;2017-11-30;1740;November;2017;
S60L;2017-11-30;3014;November;2017;
S80 II;2017-11-30;0;November;2017;
S90;2017-11-30;5872;November;2017;
V40;2017-11-30;6636;November;2017;
V40 CC;2017-11-30;2072;November;2017;
V60;2017-11-30;3174;November;2017;
V60 CC;2017-11-30;1496;November;2017;
V60 II;2017-11-30;0;November;2017;
V70 III;2017-11-30;0;November;2017;
V90;2017-11-30;2585;November;2017;
V90 CC;2017-11-30;1851;November;2017;
XC40;2017-11-30;0;November;2017;
XC60;2017-11-30;5831;November;2017;
XC60 II;2017-11-30;8899;November;2017;
XC70 III;2017-11-30;3;November;2017;
XC90 II;2017-11-30;8415;November;2017;
S60 CC;2018-10-31;76;October;2018;
S60 II;2018-10-31;682;October;2018;
S60L;2018-10-31;1852;October;2018;
S80 II;2018-10-31;0;October;2018;
S90;2018-10-31;3977;October;2018;
V40;2018-10-31;4482;October;2018;
V40 CC;2018-10-31;1255;October;2018;
V60;2018-10-31;609;October;2018;
V60 CC;2018-10-31;352;October;2018;
V60 II;2018-10-31;3659;October;2018;
V70 III;2018-10-31;0;October;2018;
V90;2018-10-31;2115;October;2018;
V90 CC;2018-10-31;1738;October;2018;
XC40;2018-10-31;9568;October;2018;
XC60;2018-10-31;24;October;2018;
XC60 II;2018-10-31;15824;October;2018;
XC70 III;2018-10-31;0;October;2018;
XC90 II;2018-10-31;7296;October;2018;
S60 CC;2017-10-31;118;October;2017;
S60 II;2017-10-31;1662;October;2017;
S60L;2017-10-31;3106;October;2017;
S80 II;2017-10-31;0;October;2017;
S90;2017-10-31;5010;October;2017;
V40;2017-10-31;5782;October;2017;
V40 CC;2017-10-31;1683;October;2017;
V60;2017-10-31;2865;October;2017;
V60 CC;2017-10-31;1185;October;2017;
V60 II;2017-10-31;0;October;2017;
V70 III;2017-10-31;1;October;2017;
V90;2017-10-31;2123;October;2017;
V90 CC;2017-10-31;1326;October;2017;
XC40;2017-10-31;0;October;2017;
XC60;2017-10-31;8049;October;2017;
XC60 II;2017-10-31;7453;October;2017;
XC70 III;2017-10-31;7;October;2017;
XC90 II;2017-10-31;7471;October;2017;
S60 CC;2018-09-30;80;September;2018;
S60 II;2018-09-30;865;September;2018;
S60L;2018-09-30;1993;September;2018;
S80 II;2018-09-30;0;September;2018;
S90;2018-09-30;4685;September;2018;
V40;2018-09-30;6014;September;2018;
V40 CC;2018-09-30;1748;September;2018;
V60;2018-09-30;1117;September;2018;
